pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1163,301388.SZ,欣灵电气,0.2654424040066778,38.39056893900563,1.4853621579819078,1.632062945977595,0.7355555810547875,1.6924868164335278,72662562.0,26.04,26.57,25.61,26.02,2007118.0,52034162.0,25.87,0.5798221878623888,20.0,31.04,False,False,True,63.68125484120837
1164,300772.SZ,运达股份,0.008038585209003185,38.70625662778367,2.006265177912541,2.1911720531702565,0.8261469198754645,1.077827535574923,697965622.0,9.46,9.5,9.27,9.27,16483893.0,153744014.0,9.53,-2.728226652675758,20.0,11.44,False,False,True,63.68125484120837
1165,300510.SZ,金冠股份,0.24454148471615708,24.242424242424242,1.5552705959920328,2.473406896670468,1.0053268760896752,1.1161012541910664,824690700.0000001,3.54,3.57,3.45,3.54,22766185.0,80121977.0,3.53,0.2832861189801861,20.0,4.24,False,False,True,63.67254066615027
1166,600864.SH,哈投股份,0.3022508038585207,21.01010101010101,1.4748677605379685,2.0243337269817663,1.1793036692425123,0.8314017785982248,2080570520.0,5.85,5.89,5.74,5.76,35016723.0,202315238.0,5.89,-2.2071307300509324,10.0,6.48,False,False,True,63.636715724244766
1167,002423.SZ,中粮资本,0.30316742081447956,29.71285892634208,1.4058925774286675,1.038833092533092,1.583952455110929,1.3047248634715167,2304105575.0,9.97,10.0,9.66,9.7,31229648.0,305540802.0,10.02,-3.1936127744511045,10.0,11.02,False,False,True,63.62316034082106
1168,002858.SZ,力盛体育,0.32199270959902804,31.006160164271044,1.462617166337966,2.251528042149827,0.5418110760087838,1.4037106240851187,147391713.0,12.28,12.46,12.12,12.31,4658306.0,57156145.0,12.39,-0.6456820016142006,10.0,13.63,False,False,True,63.5979860573199
1169,601965.SH,中国汽研,0.3539140022050717,39.70988213961923,1.227167032094291,0.8264370011972031,0.9850717980563227,0.8957975883818565,998405727.0,14.2,14.28,13.87,14.17,7391400.0,103917630.0,14.24,-0.49157303370787053,10.0,15.66,False,False,True,63.580557707203724
1170,300463.SZ,迈克生物,0.23380726698262239,28.335451080050824,1.4584908280099955,1.816527042619441,1.310726139298934,0.45661807105378893,491598938.0,9.35,9.36,9.19,9.21,4077612.0,37642782.0,9.35,-1.4973262032085488,20.0,11.22,False,False,True,63.48373353989156
1171,002599.SZ,盛通股份,0.23926380368098155,32.644628099173566,1.4938800140478288,2.1471096069839724,0.8616250101932643,1.052586119840073,413371086.0,5.95,6.04,5.88,5.97,9342260.0,55634779.0,6.01,-0.6655574043261225,10.0,6.61,False,False,True,63.47986057319906
1172,300441.SZ,鲍斯股份,0.3670886075949367,25.12820512820515,1.570555169423082,1.0700984194365017,1.1787069572374183,1.3548405983520775,629019147.0,6.98,7.16,6.96,7.07,9119600.0,64635250.0,7.01,0.8559201141226991,20.0,8.41,False,False,True,63.43725793958173
1173,300078.SZ,思创智联,0.16202531645569623,31.538461538461537,1.5602508360644407,2.398064506210844,1.0703275284700957,0.6815843721585357,1113367148.0,3.2,3.23,3.16,3.17,18197800.0,57881353.0,3.24,-2.1604938271605034,20.0,3.89,False,False,True,63.414020139426796
1174,603737.SH,三棵树,0.10283818650939917,34.36041083099906,1.9512750248354227,1.2989210481876952,1.6754429753667455,0.5100877471672235,885380968.0,24.0,24.09,23.64,23.76,5866213.0,139718867.0,24.21,-1.8587360594795488,10.0,26.63,False,False,True,63.35592563903951
1175,300375.SZ,鹏翎股份,0.2536764705882351,39.385474860335194,1.1857773105021798,1.9429208862076837,0.8807883890514463,1.1724838222579275,532628329.0,4.25,4.31,4.21,4.3,12133504.0,51632537.0,4.27,0.7025761124121788,20.0,5.12,False,False,True,63.27846630518976
