pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1242,603605.SH,珀莱雅,0.2543578797580931,25.084618277547953,1.707240840844488,1.5522968463056965,1.4097036439048276,1.2936745367806712,395976100.0,60.3,63.09,60.17,62.62,7951860.0,492212329.0,3.795789822642126,10.0,66.36,False,False,True,61.913245546088305
1243,002105.SZ,信隆健康,0.2902097902097902,36.89956331877728,1.2712381369473458,1.8770297633994997,0.8962319206062349,1.0161743235877252,364471975.0,6.25,6.38,6.18,6.36,6951900.0,43864454.0,1.9230769230769162,10.0,6.86,False,False,True,61.85902401239349
1244,301131.SZ,聚赛龙,0.2837557125051931,37.29729729729729,1.3089784262011173,2.224525823437009,0.76705553248741,1.3050361571478457,39154877.0,34.58,34.78,34.07,34.62,1136700.0,39110147.0,0.11567379988433046,20.0,41.5,False,False,True,61.84740511231603
1245,600179.SH,安通控股,0.37694704049844235,19.85472154963681,1.824847459505461,1.2469903584723192,1.183456108530851,0.7218546661277673,3862278495.0,4.52,4.64,4.51,4.61,34766138.0,159671599.0,1.3186813186813362,10.0,5.01,False,False,True,61.82610379550737
1246,300272.SZ,开能健康,0.21882951653944008,28.007889546351073,1.6025469654659432,2.3935110493147747,1.0232465006038636,0.9490129204423888,464472015.0,5.93,5.99,5.75,5.96,10550356.0,62630199.0,0.5059021922428464,20.0,7.12,False,False,True,61.79899302865996
1247,688330.SH,宏力达,0.3328827306522474,31.878866818625863,1.853232048739074,1.0075208928571384,0.8828915993714418,2.9996208869826697,140000000.0,38.86,39.78,38.08,38.2,4231053.0,163589710.0,-2.7494908350305436,20.0,47.14,False,False,True,61.79899302865996
1248,301221.SZ,光庭信息,0.20925925925925923,34.225700164744644,1.4284971149654808,2.2326452632009177,1.0222436015702674,1.505968639665732,89340795.99999999,28.8,30.3,28.62,29.55,3003900.0,88728687.0,2.604166666666674,20.0,34.56,False,False,True,61.773818745158785
1249,000663.SZ,永安林业,0.24881141045958802,36.0178970917226,1.3897368291523358,2.028636724617942,0.9053438808730627,3.0856303086649826,306301196.0,6.06,6.53,6.06,6.25,19173300.0,120412850.0,3.47682119205297,10.0,6.64,False,False,True,61.72927962819521
1250,603076.SH,乐惠国际,0.20012828736369473,37.23706651506538,1.908014478777563,1.9376069250728423,0.7009006417057169,0.6839218210869068,120701344.0,20.72,21.1,20.72,20.92,1599500.0,33541645.0,1.014002897151145,10.0,22.78,False,False,True,61.64988381099923
1251,603658.SH,安图生物,0.37829209896249016,25.940383250532296,1.621565548957621,0.7781110828573621,1.9020792390518522,0.7303253930618953,571424768.0,32.99,33.29,32.71,33.09,3247260.0,107157949.0,0.5164034021871267,10.0,36.21,False,False,True,61.60340821068938
1252,601965.SH,中国汽研,0.3638368246968026,39.70988213961923,1.3467710917242042,0.8342388294413234,1.0016728143599083,1.0795299233382478,998405727.0,14.33,14.58,14.15,14.24,8991500.0,129409117.0,-0.6280530355896707,10.0,15.76,False,False,True,61.57436096049573
1253,688608.SH,恒玄科技,0.052306519252764014,37.920242301867766,2.280064373283898,1.9594109525581267,0.9464579230302829,0.983085221046326,236886047.0,105.05,108.93,105.02,107.21,4563060.0,488786121.0,1.227457275044852,20.0,127.09,False,False,True,61.539504260263364
1254,301083.SZ,百胜智能,0.20193548387096769,34.959349593495936,1.6924798986687777,2.1841801767454245,0.8476896805470712,1.2484914522384747,86943917.0,14.15,14.88,14.07,14.43,2370900.0,34383191.0,1.6197183098591639,20.0,17.04,False,False,True,61.50271107668475
